frequency, 0/influxdb/received_mad, 0/influxdb/received_mean, 0/influxdb/received_median, 0/influxdb/received_std, 0/influxdb/transmitted_mad, 0/influxdb/transmitted_mean, 0/influxdb/transmitted_median, 0/influxdb/transmitted_std, 0/neo4j/received_mad, 0/neo4j/received_mean, 0/neo4j/received_median, 0/neo4j/received_std, 0/neo4j/transmitted_mad, 0/neo4j/transmitted_mean, 0/neo4j/transmitted_median, 0/neo4j/transmitted_std, 0/received/mad, 0/received/mean, 0/received/median, 0/received/std, 0/transmitted/mad, 0/transmitted/mean, 0/transmitted/median, 0/transmitted/std, 10/influxdb/received_mad, 10/influxdb/received_mean, 10/influxdb/received_median, 10/influxdb/received_std, 10/influxdb/transmitted_mad, 10/influxdb/transmitted_mean, 10/influxdb/transmitted_median, 10/influxdb/transmitted_std, 10/neo4j/received_mad, 10/neo4j/received_mean, 10/neo4j/received_median, 10/neo4j/received_std, 10/neo4j/transmitted_mad, 10/neo4j/transmitted_mean, 10/neo4j/transmitted_median, 10/neo4j/transmitted_std, 10/received/mad, 10/received/mean, 10/received/median, 10/received/std, 10/transmitted/mad, 10/transmitted/mean, 10/transmitted/median, 10/transmitted/std, 20/influxdb/received_mad, 20/influxdb/received_mean, 20/influxdb/received_median, 20/influxdb/received_std, 20/influxdb/transmitted_mad, 20/influxdb/transmitted_mean, 20/influxdb/transmitted_median, 20/influxdb/transmitted_std, 20/neo4j/received_mad, 20/neo4j/received_mean, 20/neo4j/received_median, 20/neo4j/received_std, 20/neo4j/transmitted_mad, 20/neo4j/transmitted_mean, 20/neo4j/transmitted_median, 20/neo4j/transmitted_std, 20/received/mad, 20/received/mean, 20/received/median, 20/received/std, 20/transmitted/mad, 20/transmitted/mean, 20/transmitted/median, 20/transmitted/std, 30/influxdb/received_mad, 30/influxdb/received_mean, 30/influxdb/received_median, 30/influxdb/received_std, 30/influxdb/transmitted_mad, 30/influxdb/transmitted_mean, 30/influxdb/transmitted_median, 30/influxdb/transmitted_std, 30/neo4j/received_mad, 30/neo4j/received_mean, 30/neo4j/received_median, 30/neo4j/received_std, 30/neo4j/transmitted_mad, 30/neo4j/transmitted_mean, 30/neo4j/transmitted_median, 30/neo4j/transmitted_std, 30/received/mad, 30/received/mean, 30/received/median, 30/received/std, 30/transmitted/mad, 30/transmitted/mean, 30/transmitted/median, 30/transmitted/std, 40/influxdb/received_mad, 40/influxdb/received_mean, 40/influxdb/received_median, 40/influxdb/received_std, 40/influxdb/transmitted_mad, 40/influxdb/transmitted_mean, 40/influxdb/transmitted_median, 40/influxdb/transmitted_std, 40/neo4j/received_mad, 40/neo4j/received_mean, 40/neo4j/received_median, 40/neo4j/received_std, 40/neo4j/transmitted_mad, 40/neo4j/transmitted_mean, 40/neo4j/transmitted_median, 40/neo4j/transmitted_std, 40/received/mad, 40/received/mean, 40/received/median, 40/received/std, 40/transmitted/mad, 40/transmitted/mean, 40/transmitted/median, 40/transmitted/std
        0,     116.79999999999995 ,       1972.1466666666663,                     1964.0,      145.989057480192  ,        427.34999999999945 ,           5036.008333333333,                       5046.55,         459.40112611435904,     3.5             ,    498.07666666666665,                   489.0,   44.59665324019267 ,        0.0             ,       308.0             ,                      308.0,      20.446142564374146,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        512.7000000000007,         9201.483050847457,                      8787.0,        817.7284605692865,         524.4000000000005  ,           5299.557627118645 ,                        5299.4 ,          405.7105942380985 ,    48.899999999999636,      4563.483050847458,                  4149.0 ,     629.9135827847648,        0.0              ,         308.0            ,                       308.0,       24.930358172731697,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,        867.0            ,        16436.800000000003,                    15701.1 ,       1501.6999684265877,           74.89999999999964,            5329.918644067797,                        5322.3 ,          342.45267857062925,    109.89999999999964,      8595.686440677966,                  7870.0 ,    1054.4379507026197,        0.0              ,          308.0           ,                       308.0,       24.930358172731697,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1057.9000000000015,        23724.262711864405,                    23550.9 ,       1714.723474831247 ,           3.899999999999636,           5484.283050847457 ,                         5483.5,          379.1811704879355 ,     597.8999999999996,     12719.701694915255,                 12018.0 ,    1507.2164506583015,        0.0              ,         308.5220338983051,                       308.0,       21.772523556051823,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1584.2000000000007,        30961.83559322034 ,                     30661.2,       2266.6414298025807,          461.0             ,           5505.11186440678  ,              5498.5           ,          388.15777457144554,    1195.800000000001 ,     16734.533898305086,                 16458.9 ,    1439.7176734262591,        0.0              ,          308.0           ,                       308.0,       24.265428792476737,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       10,      55.799999999999955,       1965.5525423728814,                     1964.0,      150.67673590645936,         74.5              ,           5151.294915254238,                       5150.7 ,         396.32719086012617,     0.0             ,    490.5525423728813 ,                   489.0,   35.373759785410584,        0.0             ,       308.0             ,                      308.0,      22.151204528624753,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        630.2999999999993,        10640.238333333336,                     10269.9,        987.2237616793336,         122.04999999999927 ,           5688.98           ,                        5701.9 ,          389.33992589805786,   996.7000000000007  ,     14017.055         ,                 13627.0 ,    1178.2989000127202,      595.0              ,        6247.570000000001 ,                      6258.0,      486.362316051086   ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,        505.0            ,        18643.128813559324,                    18077.6 ,       1289.4139207341648,           36.80000000000018,            5715.981355932203,                        5717.3 ,          359.43997075650907,   1944.2999999999993 ,     27556.02033898305 ,                 26763.0 ,    2291.5495960067074,     1190.0              ,        12187.308474576272,                     12208.0,      991.8873540895682  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1376.5            ,        26751.088135593225,                    25904.1 ,       2340.8500055855598,         463.89999999999964 ,           5865.020338983052 ,                         5873.5,          478.39495722304065,    2610.9000000000015,     41185.61016949153 ,                 40444.0 ,    3347.060503285445 ,     1785.0              ,       18188.77627118644  ,                     18158.0,     1580.0381532210324  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       2210.2999999999993,        34698.61          ,                     34518.2,       2862.603129232469 ,          483.5499999999997 ,           5880.403333333334 ,              5891.5           ,          497.0777697113832 ,    4479.699999999997 ,     54626.83833333333 ,                 54648.5 ,    4221.8780619366025,     2410.7999999999993  ,        24102.05          ,                     24108.0,     1900.2781029744212  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       20,      55.799999999999955,       1962.1271186440679,                     1964.0,      133.0375767898167 ,        437.5              ,           5160.142372881355,                       5159.2 ,         428.11910331338703,    41.89999999999998,    489.628813559322  ,                   489.0,   42.26796313035178 ,       30.80000000000001,       308.0             ,                      308.0,      26.209658656620313,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        658.2000000000007,        10625.1593220339  ,                     10242.0,        885.7688279639538,          49.399999999999636,           5694.972881355931 ,                        5706.2 ,          423.846271672313  ,   996.2999999999993  ,     13983.661016949152,                 13623.0 ,    1296.8283312356725,      595.0              ,        6236.786440677966 ,                      6258.0,      560.5062340720795  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,        928.3499999999985,        18663.07          ,                    18144.65,       1588.8646174687342,          449.4500000000003 ,            5711.03          ,                        5716.8 ,          429.89304751889705,   1934.7999999999993 ,     27609.14666666667 ,                 26801.5 ,    2425.6332367324712,     1190.0              ,        12228.346666666668,                     12208.0,     1057.0899760409834  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1827.3499999999985,        26777.206666666665,                    25957.25,       2289.1563825312624,         292.3499999999999  ,           5872.3983333333335,                         5862.8,          453.1823008390612 ,    1616.5            ,     41116.72333333334 ,                 41511.5 ,    2617.1789020905735,       30.799999999999272,       18158.513333333332 ,                     18158.0,     1284.6535257317983  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1887.5            ,        34421.388135593224,                     34144.5,       2553.0953751303496,          497.60000000000036,           5887.006779661017 ,              5888.4           ,          494.8752733367674 ,    2928.0            ,     53488.754237288136,                 53005.0 ,    3574.021540048652 ,     1563.7999999999993  ,        23513.000000000004,                     23513.0,     1647.893288309401   ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       30,     140.5999999999999  ,       1965.8694915254239,                     1964.0,      151.30523870666812,         82.30000000000018 ,           5167.657627118645,                       5158.8 ,         405.2276853408293 ,    48.89999999999998,    489.9237288135593 ,                   489.0,   37.00853274855747 ,       30.80000000000001,       308.0             ,                      308.0,      22.8776656634128  ,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        803.6999999999989,        10667.757627118644,                     10443.3,        948.6832003113016,         460.90000000000055 ,           5717.530508474575 ,                        5711.8 ,          510.96619844147915,   947.5              ,     14017.805084745763,                 13672.9 ,     981.9487883310074,      357.0              ,        6258.0            ,                      6258.0,      435.5376653413968  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1164.2000000000007,        18662.54237288135 ,                    18202.7 ,       1532.1380902700453,          454.0             ,            5724.086440677966,                        5724.2 ,          439.52214351561526,   1993.2000000000007 ,     27515.80847457627 ,                 26811.9 ,    1975.1087776493812,       30.799999999999272,        12187.308474576272,                     12208.0,      808.7929939087678  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1826.0999999999985,        26770.60169491525 ,                    25956.0 ,       2379.1488792170694,         457.3000000000002  ,           5870.964406779661 ,                         5867.0,          478.2979268350723 ,    3489.5999999999985,     41187.61355932204 ,                 40702.1 ,    3445.261739691977 ,     1785.0              ,       18188.77627118644  ,                     18158.0,     1461.3606431771848  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1220.6500000000015,        34773.95166666667 ,                     34634.5,       2185.9664800019445,           34.79999999999973,           5888.416666666667 ,              5888.9           ,          365.27188813250746,    1747.0499999999993,     54633.175         ,                 54677.0 ,    3734.551867864629 ,        0.0              ,        24108.0           ,                     24108.0,     1644.8341423779484  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       40,      27.25             ,       1965.025          ,                     1964.0,      157.9250139856663 ,          7.549999999999727,           5164.303333333333,                       5164.2 ,         414.64778803738216,    24.44999999999999,    490.025           ,                   489.0,   40.022619134345526,        0.0             ,       308.0             ,                      308.0,      24.718181053149348,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        732.0            ,        10656.069491525423,                     10387.5,        941.5118094474692,          90.0              ,           5711.152542372883 ,                        5711.2 ,          458.52384864683717,   947.8999999999996  ,     14058.964406779662,                 13628.0 ,    1149.0610697378713,       30.800000000000182,        6268.606779661017 ,                      6258.0,      471.99286371884864 ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1114.2999999999993,        18622.34406779661 ,                    17914.0 ,       1584.270096515806 ,           79.59999999999945,            5714.65593220339 ,                        5724.1 ,          443.0185312817398 ,   1846.3999999999978 ,     27553.537288135598,                 26810.9 ,    2017.431464365818 ,      528.8999999999996  ,        12207.477966101695,                     12208.0,      889.6984993122951  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1830.0            ,        26789.67966101695 ,                    26020.9 ,       2380.020780464167 ,         460.0              ,           5871.6966101694925,                         5871.0,          466.4292351124887 ,    2245.4000000000015,     41118.33220338983 ,                 41150.1 ,    3317.8164158249433,     1785.0              ,       18158.0            ,                     18158.0,     1457.2448922065462  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1647.0            ,        34425.32203389831 ,                     34141.0,       2538.5453285003528,          121.59999999999945,           5880.761016949153 ,              5878.7           ,          421.70537967545994,    1291.300000000003 ,     53508.849152542374,                 53145.4 ,    3011.0089972479136,       30.799999999999272,        23512.477966101695,                     23513.0,     1375.4007689382     ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       50,     140.5999999999999  ,       1964.9457627118645,                     1964.0,      145.9712528642894 ,        438.1999999999998  ,           5168.537288135593,                       5162.0 ,         429.0698544117645 ,     0.0             ,    490.65762711864403,                   489.0,   33.9349692662295  ,        0.0             ,       309.04406779661014,                      308.0,      21.374172871162973,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        707.4500000000007,        10654.571666666665,                     10300.4,        916.6883837555865,         286.25             ,           5712.03           ,                        5706.25,          428.96434970989594,   754.4000000000005  ,     14050.184999999998,                 13949.4 ,    1033.5507155604867,       30.800000000000182,        6268.430000000001 ,                      6258.0,      433.62978167939775 ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1372.5            ,        18684.849152542374,                    18396.8 ,       1541.2171800205992,          117.59999999999945,            5722.574576271186,                        5720.8 ,          394.86719879893474,   1537.0999999999985 ,     27549.68644067796 ,                 26811.9 ,    2059.544084002794 ,      135.79999999999927 ,        12208.0           ,                     12208.0,      890.7855920671833  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1029.2999999999993,        26793.39152542373 ,                    25956.0 ,       2002.7979337785514,         124.0              ,           5876.1779661016935,                         5873.9,          384.0979643662209 ,    2142.199999999997 ,     41077.88305084745 ,                 40935.0 ,    3095.4317612133636,      692.7000000000007  ,       18157.477966101695 ,                     18158.0,     1376.3224473170865  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1711.4000000000015,        34726.92372881356 ,                     34421.0,       2872.3244526856993,          125.60000000000036,           5883.52033898305  ,              5883.8           ,          476.92848187183444,    4433.5            ,     54774.593220338975,                 54671.9 ,    5187.9511843629125,     2380.0              ,        24158.4593220339  ,                     24108.0,     2445.3686084965225  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       60,     140.5999999999999  ,       1965.042372881356 ,                     1964.0,      175.6949013090491 ,        442.6999999999998  ,           5169.0406779661  ,                       5169.0 ,         468.9856633786419 ,     0.0             ,    489.9237288135593 ,                   489.0,   36.88073667350425 ,        0.0             ,       308.0             ,                      308.0,      23.58175799945432 ,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        634.7000000000007,        10648.630508474576,                     10242.0,        973.0003386706428,         455.09999999999945 ,           5714.520338983052 ,                        5704.8 ,          472.8574027889348 ,   947.6000000000004  ,     14039.601694915254,                 13625.0 ,    1179.6815766292434,       66.10000000000036 ,        6258.0            ,                      6258.0,      492.4473642448746  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1093.8500000000004,        18683.576666666668,                    17908.8 ,       1780.2533506966547,          456.6999999999998 ,            5723.056666666667,                        5722.85,          529.4043427196225 ,   1986.7999999999993 ,     27565.331666666665,                 26853.5 ,    2259.8911917328564,     1190.0              ,        12200.778333333334,                     12208.0,      921.5948740609832  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1635.8500000000022,        26740.353333333333,                    26238.35,       2300.5120451735743,         114.65000000000009 ,           5868.413333333333 ,                         5876.6,          491.7262658198921 ,    2980.2500000000036,     41114.34333333334 ,                 40025.05,    3544.015908607532 ,     1018.5              ,       18158.0            ,                     18158.0,     1529.9779686017632  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       2210.300000000001 ,        34821.276666666665,                     34114.3,       2979.832130032687 ,          546.5             ,           5897.538333333333 ,              5888.4           ,          463.24115149439507,    2456.5999999999985,     54741.443333333336,                 54826.4 ,    4095.169902535519 ,      580.2999999999993  ,        24147.66666666667 ,                     24108.0,     1849.4044083568408  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       70,      55.799999999999955,       1968.2525423728812,                     1964.0,      119.67043300886124,         77.09999999999945 ,           5177.900000000001,                       5169.2 ,         340.93634808901766,    48.89999999999998,    491.58135593220345,                   489.0,   43.00013422022464 ,       30.80000000000001,       309.0440677966102 ,                      308.0,      27.409136855576804,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        568.5            ,        10655.677966101695,                     10297.8,        866.8732294202235,         452.89999999999964 ,           5710.562711864407 ,                        5709.3 ,          450.589648127224  ,  1045.2999999999993  ,     14031.35593220339 ,                 13672.9 ,    1064.9722996674745,      595.0              ,        6258.0            ,                      6258.0,      461.42135131382463 ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1122.5999999999985,        18698.894915254237,                    18133.4 ,       1580.8113267672927,          493.3000000000002 ,            5728.208474576272,                        5718.3 ,          473.2476027912164 ,   1341.7999999999993 ,     27621.993220338984,                 27798.0 ,    2216.448514836011 ,      311.5              ,        12228.69152542373 ,                     12208.0,      995.7747486752997  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1933.800000000003 ,        26683.908474576274,                    26209.1 ,       2441.8487028654263,         503.8000000000002  ,           5869.07627118644  ,                         5878.7,          493.6071041023812 ,    2416.300000000003 ,     41089.957627118645,                 40474.7 ,    3209.99195171423  ,     1442.0              ,       18158.0            ,                     18158.0,     1406.3419493923548  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1911.0            ,        34702.250847457624,                     34371.4,       2599.7932333813537,          460.60000000000036,           5866.4915254237285,              5886.4           ,          437.9937333389425 ,    2924.699999999997 ,     54686.06779661015 ,                 54501.0 ,    4353.473932843179 ,     2380.0              ,        24108.0           ,                     24108.0,     2047.2433244866547  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       80,     140.5999999999999  ,       1961.7516666666668,                     1964.0,      150.89010648304043,        442.9000000000001  ,           5259.163333333333,                       5265.45,         470.503882786863  ,     0.0             ,    489.90833333333336,                   489.0,   37.78213321658107 ,        0.0             ,       308.0             ,                      308.0,      23.38105853688162 ,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        714.0            ,        10657.428813559323,                     10297.8,       1139.5498746935502,         531.3999999999996  ,           5725.9            ,                        5718.1 ,          538.6262609319352 ,   996.3999999999996  ,     14038.601694915256,                 13624.0 ,    1274.804478516354 ,      595.0              ,        6257.999999999999 ,                      6258.0,      545.6183015941482  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1138.9000000000015,        18607.201694915253,                    18219.0 ,       1744.3246014838821,          451.5             ,            5700.230508474576,                        5721.2 ,          452.7879454401849 ,   1695.9000000000015 ,     27619.384745762713,                 27504.1 ,    2280.0686178281285,     1190.0              ,        12227.683050847456,                     12208.0,      977.2356536737805  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1220.0            ,        26726.372881355932,                    26566.0 ,       1955.2530523968178,          83.30000000000018 ,           5877.306779661017 ,                         5877.6,          434.5940943567865 ,    1922.699999999997 ,     41164.00847457627 ,                 41485.9 ,    3466.125730119423 ,     1620.5              ,       18188.77627118644  ,                     18158.0,     1628.35962247806    ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1514.2000000000044,        34804.9           ,                     34276.8,       2360.0854165093983,          275.6500000000001 ,           5895.7333333333345,              5887.549999999999,          475.92262534022746,    3283.4500000000007,     54662.07666666667 ,                 54619.45,    4395.587428873421 ,     2380.0              ,        24108.0           ,                     24108.0,     2066.508922993936   ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
       90,     196.4000000000001  ,       1964.9237288135594,                     1964.0,      168.84842757988915,        520.3999999999996  ,           5265.096610169493,                       5263.5 ,         463.981509354407  ,    48.89999999999998,    490.7525423728814 ,                   489.0,   38.736302833621075,       30.80000000000001,       308.5220338983051 ,                      308.0,      23.22641234187264 ,              0,               0,                 0,              0,                 0,                  0,                    0,                 0,        605.8999999999996,        10660.661666666663,                     10242.0,        895.3689210469819,         113.15000000000009 ,           5713.1083333333345,                        5702.75,          350.3962494438172 ,   971.9500000000007  ,     14015.783333333333,                 13648.45,    1099.5469802384127,      595.0              ,        6248.083333333333 ,                      6258.0,      456.27641086006713 ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1320.8500000000022,        18634.901666666665,                    18718.1 ,       1635.0540103546537,          447.1500000000001 ,            5719.808333333333,                        5725.0 ,          414.01581493238194,   1888.9500000000007 ,     27640.408333333333,                 26783.45,    2062.5901128576647,       30.799999999999272,        12227.833333333334,                     12208.0,      818.3504213296375  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1039.449999999997 ,        26774.156666666666,                    26325.85,       2114.7656045430176,          40.55000000000064 ,           5891.91           ,                         5881.6,          443.6198348410571 ,    2727.1500000000015,     41117.12333333334 ,                 40330.0 ,    3505.016113184591 ,     1064.0              ,       18153.753333333334 ,                     18158.0,     1514.4965876674983  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0,       1550.2000000000007,        34772.60847457627 ,                     34116.0,       2651.6601696431185,          460.0             ,           5890.162711864407 ,              5882.6           ,          471.92831311922095,    2196.0            ,     54573.46101694916 ,                 54253.0 ,    3567.153141875474 ,      952.0              ,        24067.138983050845,                     24108.0,     1620.2570327188241  ,               0,                0,                  0,               0,                  0,                   0,                     0,                  0
