frequency,n,shapiro_p_value,is_normal
10.0,10,2.6713505052355026e-122,0
10.0,20,2.8701488170095835e-156,0
10.0,30,2.814005283638193e-179,0
10.0,40,8.702312773732185e-195,0
20.0,10,6.026071229388521e-148,0
20.0,20,2.4959926902201183e-172,0
20.0,30,2.944615692553844e-200,0
20.0,40,1.9724126602106212e-216,0
30.0,10,1.0420111734488968e-152,0
30.0,20,1.3476949936833383e-183,0
30.0,30,4.8680354401151406e-213,0
30.0,40,2.0064928439852637e-221,0
40.0,10,3.1426908689310353e-164,0
40.0,20,8.183305394221619e-204,0
40.0,30,6.722300884949977e-220,0
40.0,40,5.1159115972332824e-226,0
50.0,10,2.71065039671743e-174,0
50.0,20,2.421907269745445e-211,0
50.0,30,4.8852500940454285e-229,0
50.0,40,1.0859920433581965e-228,0
60.0,10,1.9094557758029975e-185,0
60.0,20,8.598176596617742e-213,0
60.0,30,1.0032166911652513e-228,0
60.0,40,8.438373401382282e-235,0
70.0,10,5.227282479644802e-186,0
70.0,20,3.174187428886401e-225,0
70.0,30,2.7664020227757014e-224,0
70.0,40,4.5909131115150187e-231,0
80.0,10,2.862035382939146e-197,0
80.0,20,7.691431106065326e-221,0
80.0,30,2.8270605269206826e-230,0
80.0,40,2.223087868971452e-236,0
90.0,10,1.0376048053190721e-195,0
90.0,20,3.493655850186654e-222,0
90.0,30,9.546221858232003e-235,0
90.0,40,4.012021753792814e-240,0
100.0,10,1.2352562682217527e-204,0
100.0,20,5.855385397207502e-227,0
100.0,30,2.450568628963179e-239,0
100.0,40,2.133345005014637e-238,0
