frequency,n,shapiro_p_value,is_normal
10.0,10,2.9289890783034522e-142,0
10.0,20,6.15650526435095e-168,0
10.0,30,3.352712496720912e-191,0
10.0,40,2.0003076380595912e-198,0
20.0,10,4.079074177911303e-153,0
20.0,20,3.788926057373975e-191,0
20.0,30,1.9487956644884253e-207,0
20.0,40,7.140006192454141e-214,0
30.0,10,7.808735359028362e-176,0
30.0,20,1.048454402883649e-201,0
30.0,30,2.567878145021707e-217,0
30.0,40,3.9504566212300745e-220,0
40.0,10,9.653821324875391e-182,0
40.0,20,2.206006337368517e-207,0
40.0,30,2.6172282322526805e-224,0
40.0,40,9.638916526801737e-226,0
50.0,10,2.6179436808857215e-188,0
50.0,20,3.7615369775907e-212,0
50.0,30,2.1923900931679858e-226,0
50.0,40,9.262794790749078e-231,0
60.0,10,1.4007466345342891e-185,0
60.0,20,6.225807015493246e-215,0
60.0,30,6.711997549817428e-232,0
60.0,40,2.53987132188771e-234,0
70.0,10,8.9871947886339e-198,0
70.0,20,7.150871760683843e-223,0
70.0,30,6.270377098608827e-234,0
70.0,40,9.595947097815205e-235,0
80.0,10,3.2264582443769074e-199,0
80.0,20,6.747445883840274e-228,0
80.0,30,5.268286877294303e-237,0
80.0,40,1.2367367320032194e-236,0
90.0,10,1.9504238111111592e-210,0
90.0,20,1.0781282981686798e-227,0
90.0,30,1.3600803663320693e-235,0
90.0,40,1.2915087743828182e-236,0
100.0,10,8.856214565849577e-197,0
100.0,20,7.133302494399241e-222,0
100.0,30,1.5720477088190412e-234,0
100.0,40,2.155516593704189e-235,0
