frequency,num_pairs,continuous/proportionalResident_mean,continuous/proportionalResident_median,continuous/proportionalResident_std,continuous/proportionalResident_mad,continuous/proportionalSwapped_mean,continuous/proportionalSwapped_median,continuous/proportionalSwapped_std,continuous/proportionalSwapped_mad,continuous/resident_mean,continuous/resident_median,continuous/resident_std,continuous/resident_mad,continuous/swapped_mean,continuous/swapped_median,continuous/swapped_std,continuous/swapped_mad,continuous/virtual_mean,continuous/virtual_median,continuous/virtual_std,continuous/virtual_mad,datamgmt/proportionalResident_mean,datamgmt/proportionalResident_median,datamgmt/proportionalResident_std,datamgmt/proportionalResident_mad,datamgmt/proportionalSwapped_mean,datamgmt/proportionalSwapped_median,datamgmt/proportionalSwapped_std,datamgmt/proportionalSwapped_mad,datamgmt/resident_mean,datamgmt/resident_median,datamgmt/resident_std,datamgmt/resident_mad,datamgmt/swapped_mean,datamgmt/swapped_median,datamgmt/swapped_std,datamgmt/swapped_mad,datamgmt/virtual_mean,datamgmt/virtual_median,datamgmt/virtual_std,datamgmt/virtual_mad,ros2listener/proportionalResident_mean,ros2listener/proportionalResident_median,ros2listener/proportionalResident_std,ros2listener/proportionalResident_mad,ros2listener/proportionalSwapped_mean,ros2listener/proportionalSwapped_median,ros2listener/proportionalSwapped_std,ros2listener/proportionalSwapped_mad,ros2listener/resident_mean,ros2listener/resident_median,ros2listener/resident_std,ros2listener/resident_mad,ros2listener/swapped_mean,ros2listener/swapped_median,ros2listener/swapped_std,ros2listener/swapped_mad,ros2listener/virtual_mean,ros2listener/virtual_median,ros2listener/virtual_std,ros2listener/virtual_mad,ros2talker/proportionalResident_mean,ros2talker/proportionalResident_median,ros2talker/proportionalResident_std,ros2talker/proportionalResident_mad,ros2talker/proportionalSwapped_mean,ros2talker/proportionalSwapped_median,ros2talker/proportionalSwapped_std,ros2talker/proportionalSwapped_mad,ros2talker/resident_mean,ros2talker/resident_median,ros2talker/resident_std,ros2talker/resident_mad,ros2talker/swapped_mean,ros2talker/swapped_median,ros2talker/swapped_std,ros2talker/swapped_mad,ros2talker/virtual_mean,ros2talker/virtual_median,ros2talker/virtual_std,ros2talker/virtual_mad,structural/proportionalResident_mean,structural/proportionalResident_median,structural/proportionalResident_std,structural/proportionalResident_mad,structural/proportionalSwapped_mean,structural/proportionalSwapped_median,structural/proportionalSwapped_std,structural/proportionalSwapped_mad,structural/resident_mean,structural/resident_median,structural/resident_std,structural/resident_mad,structural/swapped_mean,structural/swapped_median,structural/swapped_std,structural/swapped_mad,structural/virtual_mean,structural/virtual_median,structural/virtual_std,structural/virtual_mad,influxdb/memusage_mean,influxdb/memusage_median,influxdb/memusage_std,influxdb/memusage_mad,neo4j/memusage_mean,neo4j/memusage_median,neo4j/memusage_std,neo4j/memusage_mad,influxdb/memrss_mean,influxdb/memrss_median,influxdb/memrss_std,influxdb/memrss_mad,neo4j/memrss_mean,neo4j/memrss_median,neo4j/memrss_std,neo4j/memrss_mad,stream/proportionalResident_mean,stream/proportionalResident_median,stream/proportionalResident_std,stream/proportionalResident_mad,stream/proportionalSwapped_mean,stream/proportionalSwapped_median,stream/proportionalSwapped_std,stream/proportionalSwapped_mad,stream/resident_mean,stream/resident_median,stream/resident_std,stream/resident_mad,stream/swapped_mean,stream/swapped_median,stream/swapped_std,stream/swapped_mad,stream/virtual_mean,stream/virtual_median,stream/virtual_std,stream/virtual_mad,ros2/proportionalResident_mean,ros2/proportionalResident_median,ros2/proportionalResident_std,ros2/proportionalResident_mad,ros2/proportionalSwapped_mean,ros2/proportionalSwapped_median,ros2/proportionalSwapped_std,ros2/proportionalSwapped_mad,ros2/resident_mean,ros2/resident_median,ros2/resident_std,ros2/resident_mad,ros2/swapped_mean,ros2/swapped_median,ros2/swapped_std,ros2/swapped_mad,ros2/virtual_mean,ros2/virtual_median,ros2/virtual_std,ros2/virtual_mad,db/memrss_mean,db/memrss_median,db/memrss_std,db/memrss_mad,db/memusage_mean,db/memusage_median,db/memusage_std,db/memusage_mad
0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,195318988.8,194969600.0,575163.2350772861,258048.0,932792456.5333333,928563200.0,6072104.400568077,704512.0,77222912.0,76939264.0,548561.1590528659,20480.0,505114760.53333336,500924416.0,6049330.29186685,706560.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582337672.5333333,577863680.0,6597891.450919716,727040.0,1128111445.3333333,1123532800.0,6647267.6356453635,962560.0
0,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,153930342.4,153929728.0,5003.074374144395,4096.0,0.0,0.0,0.0,0.0,388980736.0,388980736.0,0.0,0.0,0.0,0.0,0.0,0.0,8627146752.0,8627146752.0,0.0,0.0,152094549.33333334,152092672.0,4649.435798345629,2048.0,0.0,0.0,0.0,0.0,381534208.0,381534208.0,0.0,0.0,0.0,0.0,0.0,0.0,8942907392.0,8942907392.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,198569847.46666667,198664192.0,1057950.761542644,212992.0,1008947677.8666667,1008918528.0,58551.613030355504,0.0,79972420.26666667,79908864.0,1059158.3947499464,421888.0,580883251.2,580870144.0,26435.62248743738,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,306024891.73333335,306022400.0,9652.510172490023,6144.0,0.0,0.0,0.0,0.0,770514944.0,770514944.0,0.0,0.0,0.0,0.0,0.0,0.0,17570054144.0,17570054144.0,0.0,0.0,660855671.4666667,660779008.0,1085594.0172373839,421888.0,1207517525.3333333,1207582720.0,1116502.3745729993,212992.0
0,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,317512905.44262296,317511680.0,6974.784834254961,7168.0,0.0,0.0,0.0,0.0,850833408.0,850833408.0,0.0,0.0,0.0,0.0,0.0,0.0,18427699200.0,18427699200.0,0.0,0.0,311913203.40983605,311912448.0,2803.72645703921,2048.0,0.0,0.0,0.0,0.0,838057984.0,838057984.0,0.0,0.0,0.0,0.0,0.0,0.0,15638175744.0,15638175744.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,201775876.19672132,201072640.0,1644728.1381290022,1441792.0,1097743578.2295082,1097723904.0,41514.79829024563,4096.0,80773120.0,80314368.0,1256497.2100115994,1171456.0,667687751.3442622,667672576.0,20443.708172186085,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,629426108.852459,629424128.0,9778.511291294171,9216.0,0.0,0.0,0.0,0.0,1688891392.0,1688891392.0,0.0,0.0,0.0,0.0,0.0,0.0,34065874944.0,34065874944.0,0.0,0.0,748460871.3442622,747986944.0,1276940.9181837854,1171456.0,1299519454.4262295,1298796544.0,1686242.9364192479,1445888.0
0,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,544001628.3278688,544003072.0,4156.889497053101,4096.0,0.0,0.0,0.0,0.0,1449226240.0,1449226240.0,0.0,0.0,0.0,0.0,0.0,0.0,27352543232.0,27352543232.0,0.0,0.0,532533197.6393443,532532224.0,5613.121264895872,5120.0,0.0,0.0,0.0,0.0,1422110720.0,1422110720.0,0.0,0.0,0.0,0.0,0.0,0.0,23469592576.0,23469592576.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,207979570.36065573,210137088.0,2613364.51101593,372736.0,1198959364.1967213,1198936064.0,61873.289799616454,0.0,82828841.96721311,83959808.0,2097923.8710685535,2101248.0,765311278.1639345,765304832.0,19678.697864425485,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1076534825.9672132,1076535296.0,9770.010761948972,9216.0,0.0,0.0,0.0,0.0,2871336960.0,2871336960.0,0.0,0.0,0.0,0.0,0.0,0.0,50822135808.0,50822135808.0,0.0,0.0,848140120.1311476,849264640.0,2117602.568932979,2101248.0,1406938934.557377,1409073152.0,2675237.800815547,372736.0
0,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,830198374.4,830198784.0,1740.2383939554402,1024.0,0.0,0.0,0.0,0.0,2173005824.0,2173005824.0,0.0,0.0,0.0,0.0,0.0,0.0,36878503936.0,36878503936.0,0.0,0.0,816457881.6,816458752.0,4432.847450031892,3072.0,0.0,0.0,0.0,0.0,2137374720.0,2137374720.0,0.0,0.0,0.0,0.0,0.0,0.0,31296389120.0,31296389120.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,214687675.73333332,212172800.0,3463101.2537718266,589824.0,1301783552.0,1301745664.0,85222.64640539499,0.0,83136785.06666666,81530880.0,2403769.381143283,589824.0,863045768.5333333,863031296.0,29202.319475712575,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1646656256.0,1646657536.0,6173.085843987332,4096.0,0.0,0.0,0.0,0.0,4310380544.0,4310380544.0,0.0,0.0,0.0,0.0,0.0,0.0,68174893056.0,68174893056.0,0.0,0.0,946182553.5999999,944562176.0,2432971.700618996,589824.0,1516471227.7333333,1513918464.0,3548323.9001772217,589824.0
10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,195921305.6,195424256.0,1057508.751234523,503808.0,946447496.5333333,944934912.0,1942986.683780843,354304.0,77822498.13333334,77324288.0,1078430.844801418,446464.0,518733004.8,517095424.0,1939806.594796614,196608.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596555502.9333334,594419712.0,3018237.4395980323,643072.0,1142368802.1333332,1140359168.0,3000495.435015366,858112.0
10,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,154062643.2,154063872.0,5711.668261743096,5120.0,0.0,0.0,0.0,0.0,388067328.0,388067328.0,0.0,0.0,0.0,0.0,0.0,0.0,8560033792.0,8560033792.0,0.0,0.0,152965563.73333332,152965120.0,6886.943829995575,5120.0,0.0,0.0,0.0,0.0,382980096.0,382980096.0,0.0,0.0,0.0,0.0,0.0,0.0,8942161920.0,8942161920.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,199107106.13333333,199794688.0,1119411.4514576355,196608.0,1057639150.9333333,1057599488.0,76102.21478900657,4096.0,80245282.13333334,80498688.0,927797.6651868764,131072.0,629291417.6,629268480.0,31522.470755782335,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,307028206.9333333,307028992.0,12598.61209173867,10240.0,0.0,0.0,0.0,0.0,771047424.0,771047424.0,0.0,0.0,0.0,0.0,0.0,0.0,17502195712.0,17502195712.0,0.0,0.0,709536699.7333333,709767168.0,959320.1359426588,131072.0,1256746257.0666666,1257394176.0,1195513.6662466421,200704.0
10,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,318103210.6666667,318103552.0,2716.891810018322,2048.0,0.0,0.0,0.0,0.0,854683648.0,854683648.0,0.0,0.0,0.0,0.0,0.0,0.0,18226413568.0,18226413568.0,0.0,0.0,312054152.53333336,312053760.0,3058.035302955853,2048.0,0.0,0.0,0.0,0.0,837931008.0,837931008.0,0.0,0.0,0.0,0.0,0.0,0.0,15503761408.0,15503761408.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,203980595.2,204961792.0,4828198.419586522,5982208.0,1098803950.9333334,1098776576.0,55023.375484337535,4096.0,82550920.53333333,82472960.0,4756218.491659502,4263936.0,668426103.4666667,668409856.0,33565.067421841544,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,630157363.2,630157312.0,5774.927112974175,4096.0,0.0,0.0,0.0,0.0,1692614656.0,1692614656.0,0.0,0.0,0.0,0.0,0.0,0.0,33730174976.0,33730174976.0,0.0,0.0,750977024.0,750882816.0,4789783.559081343,4263936.0,1302784546.1333334,1303738368.0,4883221.795070859,5986304.0
10,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,544906854.4,544906240.0,2915.8792562944263,2048.0,0.0,0.0,0.0,0.0,1449746432.0,1449746432.0,0.0,0.0,0.0,0.0,0.0,0.0,27621322752.0,27621322752.0,0.0,0.0,533012736.0,533013504.0,1491.9793700577652,1024.0,0.0,0.0,0.0,0.0,1423466496.0,1423466496.0,0.0,0.0,0.0,0.0,0.0,0.0,23603785728.0,23603785728.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,209497088.0,212094976.0,3315139.429923743,507904.0,1199945932.8,1199935488.0,28681.172382722743,0.0,83668514.13333334,85090304.0,2599151.2482861867,2101248.0,765852057.6,765845504.0,19826.716865578033,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1077919590.4,1077919744.0,4407.858626352192,3072.0,0.0,0.0,0.0,0.0,2873212928.0,2873212928.0,0.0,0.0,0.0,0.0,0.0,0.0,51225108480.0,51225108480.0,0.0,0.0,849520571.7333333,850935808.0,2618977.965151765,2101248.0,1409443020.8,1412030464.0,3343820.6023064656,507904.0
10,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,829409757.8666667,829411328.0,8646.826915738195,7168.0,0.0,0.0,0.0,0.0,2169733120.0,2169733120.0,0.0,0.0,0.0,0.0,0.0,0.0,36878987264.0,36878987264.0,0.0,0.0,817644441.6,817644032.0,2912.830129395098,2560.0,0.0,0.0,0.0,0.0,2138951680.0,2138951680.0,0.0,0.0,0.0,0.0,0.0,0.0,31162105856.0,31162105856.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,216709393.06666666,220590080.0,5066723.145388244,1056768.0,1303097207.4666667,1303089152.0,37434.01017902859,0.0,84142489.6,87191552.0,3912552.3663536957,2105344.0,863797657.6,863797248.0,1239.1698040986275,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1647054199.4666667,1647055360.0,11559.657045133292,9728.0,0.0,0.0,0.0,0.0,4308684800.0,4308684800.0,0.0,0.0,0.0,0.0,0.0,0.0,68041093120.0,68041093120.0,0.0,0.0,947940147.2,950988800.0,3913791.5361577943,2105344.0,1519806600.5333333,1523679232.0,5104157.155567273,1056768.0
