Time,timeRelative,stream/cpu,influxdb/cpu,neo4j/cpu,ros2/cpu,influxdb/received,neo4j/received,influxdb/transmitted,neo4j/transmitted
2025-06-28 16:53:00,0,0.00074,0.00335,0.00724,0,644,829,9793,10398
2025-06-28 16:53:01,1,0.00281,0.00342,0.00749,0.0274,665,886,10049,11573
2025-06-28 16:53:02,2,0.00276,0.00355,0.00726,0.0653,1411,1446,10180,11314
2025-06-28 16:53:03,3,0.00661,0.0042,0.00726,0.099,2005,1446,10435,11314
2025-06-28 16:53:04,4,0.00771,0.00454,0.0169,0.132,2256,6433,10868,13473
2025-06-28 16:53:05,5,0.00976,0.00466,0.016,0.165,2393,6468,10959,13027
2025-06-28 16:53:06,6,0.011,0.00476,0.0212,0.198,2576,6939,10488,13114
2025-06-28 16:53:07,7,0.0131,0.00503,0.0221,0.231,2848,7382,10518,14046
2025-06-28 16:53:08,8,0.0151,0.00503,0.0216,0.263,2848,7433,10518,13565
2025-06-28 16:53:09,9,0.0164,0.00546,0.0221,0.296,3242,7982,11127,13927
2025-06-28 16:53:10,10,0.0191,0.00564,0.0221,0.33,3478,7982,11390,13927
2025-06-28 16:53:11,11,0.0197,0.00581,0.0218,0.362,3858,8211,11162,13821
2025-06-28 16:53:12,12,0.0224,0.00581,0.0196,0.396,3858,8276,11162,3811
2025-06-28 16:53:13,13,0.023,0.00601,0.0218,0.429,3954,9346,11461,4290
2025-06-28 16:53:14,14,0.0252,0.00638,0.0198,0.461,4409,8751,11767,4063
2025-06-28 16:53:15,15,0.0261,0.00632,0.0223,0.495,3785,9449,10833,4649
2025-06-28 16:53:16,16,0.0277,0.00677,0.0204,0.495,4056,8810,11607,4399
2025-06-28 16:53:17,17,0.0257,0.00625,0.0119,0.495,3667,4766,11689,2589
2025-06-28 16:53:18,18,0.0279,0.00607,0.0116,0.494,3678,4729,10959,2585
2025-06-28 16:53:19,19,0.0264,0.00572,0.0124,0.494,3389,4877,10720,2700
2025-06-28 16:53:20,20,0.0271,0.00625,0.00906,0.494,3576,5101,12053,12975
2025-06-28 16:53:21,21,0.0264,0.00574,0.0095,0.496,3313,5270,11107,14334
2025-06-28 16:53:22,22,0.0264,0.00618,0.00906,0.496,3549,5023,11861,12933
2025-06-28 16:53:23,23,0.0264,0.00601,0.00908,0.496,3511,5130,11504,12980
2025-06-28 16:53:24,24,0.0264,0.00567,0.00952,0.494,3336,5290,10851,14388
2025-06-28 16:53:25,25,0.0279,0.00607,0.00901,0.496,3464,4993,11632,12857
2025-06-28 16:53:26,26,0.0257,0.00629,0.00902,0.495,3799,4919,11429,13941
2025-06-28 16:53:27,27,0.0271,0.00629,0.00843,0.496,3799,4586,11429,13008
2025-06-28 16:53:28,28,0.0264,0.00614,0.00898,0.496,3490,4972,11527,12810
2025-06-28 16:53:29,29,0.0264,0.00619,0.00865,0.494,3611,4728,12151,13495
2025-06-28 16:53:30,30,0.0271,0.00626,0.00872,0.496,3596,4863,11992,12829
2025-06-28 16:53:31,31,0.0271,0.00625,0.00871,0.495,3546,4774,11952,12830
2025-06-28 16:53:32,32,0.0264,0.00627,0.00895,0.497,3561,5051,12125,12773
2025-06-28 16:53:33,33,0.0271,0.0061,0.00661,0.498,3651,4349,11480,2383
2025-06-28 16:53:34,34,0.0257,0.00599,0.00701,0.496,3547,4548,11258,2511
2025-06-28 16:53:35,35,0.0279,0.00596,0.00704,0.495,3502,4656,11201,2517
2025-06-28 16:53:36,36,0.0271,0.00606,0.00704,0.494,3556,4656,11287,2517
2025-06-28 16:53:37,37,0.0271,0.00621,0.00687,0.494,3623,4411,11288,2435
2025-06-28 16:53:38,38,0.0264,0.00623,0.00708,0.496,3683,4629,11237,2536
2025-06-28 16:53:39,39,0.0264,0.00617,0.00712,0.495,3615,4701,11493,2559
2025-06-28 16:53:40,40,0.0279,0.00604,0.00985,0.494,3419,5136,11620,13327
2025-06-28 16:53:41,41,0.0279,0.00619,0.00985,0.493,3555,5136,11683,13327
2025-06-28 16:53:42,42,0.0271,0.00619,0.00937,0.495,3555,4865,11683,12872
2025-06-28 16:53:43,43,0.0279,0.00605,0.00995,0.495,3508,5038,11336,14427
2025-06-28 16:53:44,44,0.0264,0.00734,0.00973,0.494,3377,5049,10630,13046
2025-06-28 16:53:45,45,0.0279,0.00793,0.00936,0.496,3647,4817,11482,13075
2025-06-28 16:53:46,46,0.0271,0.00788,0.00973,0.494,3488,4981,11272,13435
2025-06-28 16:53:47,47,0.0257,0.00777,0.00969,0.496,3621,4958,11182,13450
2025-06-28 16:53:48,48,0.0279,0.00806,0.00959,0.496,3731,5096,11393,12426
2025-06-28 16:53:49,49,0.0257,0.00801,0.00972,0.496,3569,5117,11535,12623
2025-06-28 16:53:50,50,0.0279,0.00801,0.0101,0.495,3569,5222,11535,14165
2025-06-28 16:53:51,51,0.0271,0.00804,0.00973,0.496,3621,5206,12031,12694
2025-06-28 16:53:52,52,0.0279,0.00815,0.0101,0.495,3673,5212,11963,14221
2025-06-28 16:53:53,53,0.0264,0.00815,0.00959,0.497,3673,4970,11963,12835
2025-06-28 16:53:54,54,0.0271,0.00794,0.00692,0.498,3635,4557,11456,2464
2025-06-28 16:53:55,55,0.0271,0.00795,0.00745,0.498,3685,4884,11800,2704
2025-06-28 16:53:56,56,0.0271,0.00803,0.00745,0.498,3686,4884,11705,2704
2025-06-28 16:53:57,57,0.0264,0.00803,0.00704,0.499,3686,4651,11705,2512
2025-06-28 16:53:58,58,0.0271,0.00608,0.00705,0.499,3475,4621,11219,2515
2025-06-28 16:53:59,59,0.0257,0.00631,0.00694,0.499,3733,4509,11853,2468
2025-06-28 16:54:00,60,0.0257,0.00631,0.00714,0.499,3733,4727,11853,2571
2025-06-28 16:54:01,61,0.0286,0.00614,0.00843,0.496,3494,4995,11719,12866
