Time,timeRelative,continuous/proportionalResident,continuous/proportionalSwapped,continuous/resident,continuous/swapped,continuous/virtual,datamgmt/proportionalResident,datamgmt/proportionalSwapped,datamgmt/resident,datamgmt/swapped,datamgmt/virtual,requests/proportionalResident,requests/proportionalSwapped,requests/resident,requests/swapped,requests/virtual,ros2listener/proportionalResident,ros2listener/proportionalSwapped,ros2listener/resident,ros2listener/swapped,ros2listener/virtual,ros2talker/proportionalResident,ros2talker/proportionalSwapped,ros2talker/resident,ros2talker/swapped,ros2talker/virtual,structural/proportionalResident,structural/proportionalSwapped,structural/resident,structural/swapped,structural/virtual,influxdb/memrss,neo4j/memrss
2025-06-28 16:53:02,2,5159936,0,18063360,0,307544064,3727360,0,13500416,0,286367744,,,,,,55353344,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,4969472,0,15994880,0,307933184,133455872,980647936
2025-06-28 16:53:03,3,5565440,0,18505728,0,374652928,3829760,0,13500416,0,353476608,,,,,,55353344,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,5448704,0,16388096,0,375042048,133455872,980647936
2025-06-28 16:53:04,4,5975040,0,18706432,0,441761792,3829760,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,5927936,0,16912384,0,442150912,133455872,980783104
2025-06-28 16:53:05,5,6118400,0,19034112,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6018048,0,17043456,0,442150912,133455872,980783104
2025-06-28 16:53:06,6,6261760,0,19165184,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6075392,0,17043456,0,442150912,133455872,980783104
2025-06-28 16:53:07,7,6331392,0,19279872,0,441761792,3833856,0,13500416,0,353476608,,,,,,55353344,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6124544,0,17043456,0,442150912,133455872,980783104
2025-06-28 16:53:08,8,6376448,0,19202048,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6181888,0,17174528,0,442150912,133455872,980783104
2025-06-28 16:53:09,9,6425600,0,19533824,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6239232,0,17174528,0,442150912,133455872,980783104
2025-06-28 16:53:10,10,6441984,0,19337216,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6296576,0,17305600,0,442150912,133455872,980783104
2025-06-28 16:53:11,11,6462464,0,19337216,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6304768,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:12,12,6462464,0,19337216,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6304768,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:13,13,6470656,0,19341312,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6312960,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:14,14,6487040,0,19341312,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6321152,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:15,15,6515712,0,19341312,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6329344,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:16,16,6536192,0,19140608,0,441761792,3833856,0,13500416,0,353476608,,,,,,55353344,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6341632,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:17,17,6536192,0,19333120,0,441761792,3833856,0,13500416,0,353476608,,,,,,55353344,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6345728,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:18,18,6548480,0,19140608,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6358016,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:19,19,6577152,0,19140608,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6370304,0,17616896,0,442150912,133455872,980783104
2025-06-28 16:53:20,20,6589440,0,19333120,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6378496,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:21,21,6593536,0,19324928,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6382592,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:22,22,6601728,0,19456000,0,441761792,3833856,0,13500416,0,353476608,,,,,,55353344,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6382592,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:23,23,6614016,0,19456000,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6386688,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:24,24,6642688,0,19456000,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6390784,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:25,25,6646784,0,19664896,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6403072,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:26,26,6650880,0,19660800,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6411264,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:27,27,6667264,0,19660800,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6415360,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:28,28,6675456,0,19656704,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6423552,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:29,29,6667264,0,19660800,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6431744,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:30,30,6683648,0,19595264,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495927296,49827840,0,183369728,0,1781538816,6444032,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:31,31,6687744,0,19603456,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6452224,0,17616896,0,442150912,133455872,980795392
2025-06-28 16:53:32,32,6695936,0,19927040,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6452224,0,17514496,0,442150912,133455872,980795392
2025-06-28 16:53:33,33,6700032,0,19927040,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6460416,0,17514496,0,442150912,133455872,980795392
2025-06-28 16:53:34,34,6700032,0,19730432,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6468608,0,17645568,0,442150912,133455872,980795392
2025-06-28 16:53:35,35,6700032,0,19730432,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6472704,0,17645568,0,442150912,133455872,980795392
2025-06-28 16:53:36,36,6700032,0,19730432,0,441761792,3833856,0,13500416,0,353476608,,,,,,55349248,0,217571328,0,495923200,49827840,0,183369728,0,1781538816,6476800,0,17645568,0,442150912,133455872,980795392
