Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:28:36,0,0.444254,0,0.0057139,0.5878152
2025-07-01 10:28:37,1,0.445,0,0.0057143,0.5871429
2025-07-01 10:28:38,2,0.4449682,0,0.0049996,0.5878152
2025-07-01 10:28:39,3,0.4442857,0,0.005,0.5871429
2025-07-01 10:28:40,4,0.445,0,0.005,0.5871429
2025-07-01 10:28:41,5,0.445,0,0.0035714,0.5871429
2025-07-01 10:28:42,6,0.4450318,0,0.004286,0.5864705
2025-07-01 10:28:43,7,0.445,0,0.005,0.5871429
2025-07-01 10:28:44,8,0.4442857,0,0.0042857,0.5871429
2025-07-01 10:28:45,9,0.4442857,0,0.005,0.5864286
2025-07-01 10:28:46,10,0.4443175,0,0.0050004,0.5871848
2025-07-01 10:28:47,11,0.444254,0,0.0049996,0.5871009
2025-07-01 10:28:48,12,0.4450318,0,0.0050004,0.5871848
2025-07-01 10:28:49,13,0.4442857,0,0.005,0.5878571
2025-07-01 10:28:50,14,0.4450318,0,0.004286,0.5871848
2025-07-01 10:28:51,15,0.4442857,0,0.0042857,0.5878571
2025-07-01 10:28:52,16,0.4450318,0,0.0057147,0.5871848
2025-07-01 10:28:53,17,0.445,0,0.0057143,0.5878571
2025-07-01 10:28:54,18,0.444254,0,0.0064281,0.5871009
2025-07-01 10:28:55,19,0.4435714,0,0.0064286,0.5871429
2025-07-01 10:28:56,20,0.444254,0,0.0057139,0.5878152
2025-07-01 10:28:57,21,0.4435714,0,0.0042857,0.5871429
2025-07-01 10:28:58,22,0.444254,0,0.0049996,0.5871009
2025-07-01 10:28:59,23,0.444254,0,0.0049996,0.5871009
2025-07-01 10:29:00,24,0.4435714,0,0.005,0.5878571
2025-07-01 10:29:01,25,0.4450318,0,0.0050004,0.5871848
2025-07-01 10:29:02,26,0.444254,0,0.0042854,0.5871009
2025-07-01 10:29:03,27,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:29:04,28,0.4442857,0,0.005,0.5871429
2025-07-01 10:29:05,29,0.4442857,0,0.005,0.5864286
2025-07-01 10:29:06,30,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:29:07,31,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:29:08,32,0.445,0,0.0042857,0.5871429
2025-07-01 10:29:09,33,0.445,0,0.0042857,0.5864286
2025-07-01 10:29:10,34,0.4450318,0,0.0050004,0.5864705
2025-07-01 10:29:11,35,0.445,0,0.005,0.5864286
2025-07-01 10:29:12,36,0.4450318,0,0.004286,0.5871848
