frequency,num_pairs,influxdb/write_mean,influxdb/write_median,influxdb/write_std,influxdb/write_mad,neo4j/write_mean,neo4j/write_median,neo4j/write_std,neo4j/write_mad,influxdb/read_mean,influxdb/read_median,influxdb/read_std,influxdb/read_mad,neo4j/read_mean,neo4j/read_median,neo4j/read_std,neo4j/read_mad,write_mean,write_median,write_std,write_mad,read_mean,read_median,read_std,read_mad
0,0,4129.573770491803,4096.0,342.48844097777936,409.5999999999999,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,0.0,9662.531147540984,0.0,76093.07184049458,0.0,4639.895081967213,4096.0,1111.064827324457,409.5999999999999,9662.531147540984,0.0,76093.07184049458,0.0
0,10,9134.08,9420.8,731.2948415779555,819.1999999999989,484.6933333333333,0.0,720.692379085398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9618.773333333333,9420.8,1451.9872206633536,819.1999999999989,0.0,0.0,0.0,0.0
0,20,9946.453333333333,10240.0,827.1214900335245,819.2000000000007,341.33333333333337,0.0,531.4117919066532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287.786666666667,10240.0,1358.5332819401779,819.2000000000007,0.0,0.0,0.0,0.0
0,30,10738.346666666666,11059.2,747.6052990891542,409.60000000000036,375.46666666666675,0.0,588.4984057208176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11113.813333333334,11059.2,1336.1037048099718,409.60000000000036,0.0,0.0,0.0,0.0
0,40,11543.893333333335,11878.4,838.7758077340909,409.60000000000036,689.4933333333335,819.2,680.5247363766969,819.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12233.386666666669,12697.6,1519.3005441107878,1228.8000000000004,0.0,0.0,0.0,0.0
10,0,4130.133333333334,4096.0,399.541727898313,409.5999999999999,450.56000000000006,0.0,689.1157527425753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4580.6933333333345,4096.0,1088.6574806408883,409.5999999999999,0.0,0.0,0.0,0.0
10,10,13644.38032786885,13926.4,1134.8829826136212,819.2000000000007,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14154.701639344261,13926.4,1903.4593689602987,819.2000000000007,0.0,0.0,0.0,0.0
10,20,14827.519999999999,15155.2,858.7618393723184,409.60000000000036,539.3066666666667,0.0,774.2159979631303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15366.826666666666,15155.2,1632.9778373354488,409.60000000000036,0.0,0.0,0.0,0.0
10,30,16022.186666666666,16384.0,1330.6681669272048,819.2000000000007,532.4800000000001,0.0,769.8341472577354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16554.666666666668,16384.0,2100.50231418494,819.2000000000007,0.0,0.0,0.0,0.0
10,40,17243.488524590164,17612.8,1485.0902346379323,1228.7999999999993,846.0590163934426,0.0,1120.3406823259509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18089.547540983607,17612.8,2605.430916963883,1228.7999999999993,0.0,0.0,0.0,0.0
20,0,4123.306666666666,4096.0,288.0183278797081,0.0,443.73333333333335,0.0,674.7366258392805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4567.04,4096.0,962.7549537189886,0.0,0.0,0.0,0.0,0.0
20,10,13646.506666666666,13926.4,1054.162074492654,409.60000000000036,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14165.333333333332,13926.4,1826.2855072683096,409.60000000000036,0.0,0.0,0.0,0.0
20,20,14853.036065573768,15155.2,1337.3227988387043,1228.7999999999993,517.0360655737705,0.0,765.7036554404077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15370.072131147539,15155.2,2103.026454279112,1228.7999999999993,0.0,0.0,0.0,0.0
20,30,16101.980327868852,16384.0,1308.3024031638458,1228.7999999999993,517.0360655737705,0.0,765.7036554404076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16619.016393442624,16384.0,2074.0060586042537,1228.7999999999993,0.0,0.0,0.0,0.0
20,40,17203.2,17612.8,1242.9622224652467,819.2000000000007,764.5866666666667,0.0,1069.4456016734243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17967.786666666667,17612.8,2312.407824138671,819.2000000000007,0.0,0.0,0.0,0.0
30,0,4130.133333333334,4096.0,406.7171489235748,409.5999999999999,464.21333333333337,0.0,683.7590169548737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4594.346666666667,4096.0,1090.4761658784485,409.5999999999999,0.0,0.0,0.0,0.0
30,10,13714.773333333336,13926.4,1203.6457535095424,1228.7999999999993,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14233.600000000002,13926.4,1975.769186285198,1228.7999999999993,0.0,0.0,0.0,0.0
30,20,14916.266666666666,15155.2,1075.5711363020368,819.1999999999989,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15435.093333333332,15155.2,1847.6945690776924,819.1999999999989,0.0,0.0,0.0,0.0
30,30,16138.24,16384.0,1358.2007656244496,1228.7999999999993,525.6533333333334,0.0,769.1332842430172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663.893333333333,16384.0,2127.334049867467,1228.7999999999993,0.0,0.0,0.0,0.0
