frequency,n,mean_base,mean_trace,t_stat,t_p_value,mw_stat,mw_p_value
10.0,10,81.70745677779362,66.75799323371416,-59.26521275256939,0.0,1636293874.5,0.0
10.0,20,76.57385077351707,65.05991042619411,-70.43886954283967,0.0,7190628536.0,0.0
10.0,30,73.80366446969455,62.91443138553221,-67.78394123054505,0.0,15064463513.5,0.0
10.0,40,67.31247606027516,69.79345819797973,10.74734292553417,6.153259667033422e-27,27830150453.5,1.1167304374496922e-301
20.0,10,78.49571482533688,64.895713950539,-70.74702436388246,0.0,7020896365.5,0.0
20.0,20,73.28309282871375,58.09946919943141,-127.512033070026,0.0,27291360799.5,0.0
20.0,30,64.90948598566096,62.35645201867428,-21.803179703932283,2.338753652785249e-105,77188013820.0,0.0
20.0,40,64.63982240200602,67.96582833573589,19.2996786369506,5.619939880696482e-83,115994472944.0,6.961369257069674e-29
30.0,10,84.39766227541773,56.17271994516219,-170.6596739666828,0.0,12403211399.0,0.0
30.0,20,67.98428529347788,54.373900117946164,-139.31307281849178,0.0,60746639654.0,0.0
30.0,30,61.41951440776657,60.33526486025257,-11.305136783067415,1.2422414722862475e-29,166452766463.0,5.4718535534534796e-204
30.0,40,63.79891727695257,70.13329621891506,51.19630269542723,0.0,270566251006.0,6.075574900064371e-07
40.0,10,72.58509278252349,53.0933851466268,-147.85624541624605,0.0,26569195897.5,0.0
40.0,20,56.41655449703297,54.228325554015804,-26.82001267840095,2.1533018309246644e-158,135423109227.5,0.0
40.0,30,58.97627633008613,57.52816996214223,-17.957114259060567,4.297529859081856e-72,292085241539.5,0.0
40.0,40,66.0337842105968,68.28759511159599,20.114728238436847,5.610970491759403e-90,449381492122.0,1.8755462814027887e-17
50.0,10,67.99215583059615,52.581567576138106,-127.26241936144318,0.0,42371020814.5,0.0
50.0,20,51.27823191746224,54.208820272848165,41.23093377559675,0.0,249345765755.0,0.0
50.0,30,52.80368042745508,58.99543825126068,84.88969614735372,0.0,532999116628.0,0.0
50.0,40,67.46144409433263,66.59632050629835,-8.390878556358992,4.827884624210971e-17,659122194331.0,0.0
60.0,10,57.733726550341856,58.59021274540625,8.232143439352004,1.8416874961166155e-16,86614078416.5,0.0
60.0,20,52.574173146496754,54.818720191095835,33.62550699676539,8.729035708141977e-248,349548916516.5,0.0
60.0,30,56.15644869428267,57.62678692291695,20.954423914976303,1.747811105552895e-97,754314440662.5,0.0
60.0,40,60.52518315279247,65.62172318907356,59.98716935718062,0.0,1311479784929.0,0.0
70.0,10,58.53245900484936,49.93490474553796,-89.34731534544903,0.0,93817423941.0,0.0
70.0,20,44.63852625903399,49.57364092764073,94.4671961823601,0.0,510779325259.5,0.0
70.0,30,60.72622241833335,56.21617891920332,-74.07619188762021,0.0,892236065096.0,0.009741837185327314
70.0,40,67.45061783682006,66.29983224632569,-14.611632073037779,2.3766655755202285e-48,1211763785154.5,0.0
80.0,10,51.29581988251553,50.409397578955776,-10.330113490784678,5.164232771417766e-25,153854827541.5,0.0
80.0,20,48.72623351264626,46.44372779272188,-44.75328899277232,0.0,604113008568.0,0.0
80.0,30,57.740976599394735,54.451505597223104,-59.81054627350312,0.0,1090336912210.5,0.0
80.0,40,61.664210652014354,66.96629338382193,71.98343879737108,0.0,2298926472265.0,0.0
90.0,10,55.508149424785934,42.6139640584488,-158.6310557754911,0.0,140429876500.0,0.0
90.0,20,48.96479575528952,47.61816433954655,-26.947213718304067,6.518140030038313e-160,744172080963.0,0.0
90.0,30,54.457715275079366,56.95087254625988,45.512708918912274,0.0,1705867978852.0,0.0
90.0,40,58.44571748904553,68.27837335059901,135.37714653880874,0.0,2957807497458.5,0.0
100.0,10,48.24844200770683,55.21934145343927,87.22438349934569,0.0,255846437066.5,0.0
100.0,20,46.4415087827373,52.77597335451804,125.00959310416444,0.0,956098402140.0,0.0
100.0,30,51.00578420044177,59.99152854097928,174.15833336166077,0.0,2303570647027.0,0.0
100.0,40,61.647579818486534,70.13487732687318,117.99201453667015,0.0,3175357411950.0,0.0
