frequency,n,diff/median,dev/median,diff/mean,dev/mean
10.0,10,-5.899999999999999,-0.10230622507369513,-14.949999999999989,-0.18296414147595141
10.0,20,-0.9200000000000017,-0.017160977429584112,-11.509999999999991,-0.1503199686561315
10.0,30,-1.3000000000000043,-0.024034017378443462,-10.89,-0.14756097560975612
10.0,40,0.09000000000000341,0.0017331022530329143,2.480000000000004,0.036844451047392646
20.0,10,-1.8200000000000003,-0.03419767004885377,-13.599999999999994,-0.17324840764331206
20.0,20,-1.5200000000000031,-0.02921953094963481,-15.18,-0.20715065502183405
20.0,30,1.0,0.019794140934283444,-2.549999999999997,-0.03928516407333227
20.0,40,0.3500000000000014,0.006904714933912093,3.3299999999999983,0.05151608910891081
30.0,10,-14.11,-0.25066619292947234,-28.230000000000004,-0.33447867298578204
30.0,20,-4.509999999999998,-0.08902487169364381,-13.610000000000007,-0.20020594292438965
30.0,30,0.240000000000002,0.004788507581803714,-1.0799999999999983,-0.0175838489091501
30.0,40,0.10000000000000142,0.001966568338249708,6.329999999999998,0.09921630094043876
40.0,10,-7.649999999999999,-0.14958936253421973,-19.5,-0.26863204298112686
40.0,20,2.8699999999999974,0.06338339222614842,-2.190000000000005,-0.03881602268699047
40.0,30,0.3300000000000054,0.00666936135812457,-1.4499999999999957,-0.024584604950830702
40.0,40,0.12000000000000455,0.002344207853096414,2.260000000000005,0.034226866575798987
50.0,10,-7.800000000000004,-0.1589889930697106,-15.409999999999997,-0.22665097808501244
50.0,20,9.719999999999999,0.25012866700977865,2.9299999999999997,0.05713728549141961
50.0,30,2.5900000000000034,0.055698924731182764,6.200000000000003,0.11742424242424243
50.0,40,-0.44999999999999574,-0.008783915674409393,-0.8599999999999994,-0.012748295286095446
60.0,10,4.109999999999999,0.1012065993597635,0.8600000000000065,0.014896934003117979
60.0,20,5.009999999999998,0.12400990099009901,2.25,0.04280007608902414
60.0,30,1.4299999999999997,0.03006728343145504,1.470000000000006,0.026175213675213804
60.0,40,1.2100000000000009,0.0244099253580794,5.090000000000003,0.08409053361969288
70.0,10,-2.9299999999999997,-0.07863660762211488,-8.600000000000001,-0.14693319665129
70.0,20,7.6299999999999955,0.20527306967984926,4.93,0.11043906810035842
70.0,30,0.12999999999999545,0.002649816551161699,-4.509999999999998,-0.07426313189527411
70.0,40,-1.8900000000000006,-0.03597944031981726,-1.1500000000000057,-0.017049666419570175
80.0,10,5.689999999999998,0.1885979449784554,-0.8900000000000006,-0.01734892787524367
80.0,20,4.329999999999998,0.11611692142665597,-2.289999999999999,-0.04699363841576032
80.0,30,-0.9600000000000009,-0.019524100061012795,-3.289999999999999,-0.0569795635607897
80.0,40,1.4100000000000037,0.028318939546093658,5.310000000000002,0.0861174180992541
90.0,10,-6.580000000000002,-0.1768341843590433,-12.899999999999999,-0.23239056025941274
90.0,20,4.759999999999998,0.1250656857593273,-1.3400000000000034,-0.027369281045751648
90.0,30,2.8699999999999974,0.062296505317994244,2.490000000000002,0.045721630554535375
90.0,40,1.9799999999999969,0.04054054054054057,9.829999999999998,0.16817792985457647
100.0,10,10.57,0.36348005502063274,6.969999999999999,0.14445595854922288
100.0,20,5.150000000000006,0.13858988159311103,6.340000000000003,0.13652024117140393
100.0,30,4.380000000000003,0.09632724873543008,8.980000000000004,0.17604391295824362
100.0,40,0.9299999999999997,0.018655967903711046,8.479999999999997,0.13755068937550674
