frequency,num_pairs,influxdb/transmitted_mean,influxdb/transmitted_median,influxdb/transmitted_std,influxdb/transmitted_mad,neo4j/transmitted_mean,neo4j/transmitted_median,neo4j/transmitted_std,neo4j/transmitted_mad,influxdb/received_mean,influxdb/received_median,influxdb/received_std,influxdb/received_mad,neo4j/received_mean,neo4j/received_median,neo4j/received_std,neo4j/received_mad,received/mean,received/median,received/std,received/mad,transmitted/mean,transmitted/median,transmitted/std,transmitted/mad
0,0,5036.008333333333,5046.55,459.40112611435904,427.34999999999945,308.0,308.0,20.446142564374146,0.0,1972.1466666666663,1964.0,145.989057480192,116.79999999999995,498.07666666666665,489.0,44.59665324019267,3.5,0,0,0,0,0,0,0,0
0,10,5299.557627118645,5299.4,405.7105942380985,524.4000000000005,308.0,308.0,24.930358172731697,0.0,9201.483050847457,8787.0,817.7284605692865,512.7000000000007,4563.483050847458,4149.0,629.9135827847648,48.899999999999636,0,0,0,0,0,0,0,0
0,20,5329.918644067797,5322.3,342.45267857062925,74.89999999999964,308.0,308.0,24.930358172731697,0.0,16436.800000000003,15701.1,1501.6999684265877,867.0,8595.686440677966,7870.0,1054.4379507026197,109.89999999999964,0,0,0,0,0,0,0,0
0,30,5484.283050847457,5483.5,379.1811704879355,3.899999999999636,308.5220338983051,308.0,21.772523556051823,0.0,23724.262711864405,23550.9,1714.723474831247,1057.9000000000015,12719.701694915255,12018.0,1507.2164506583015,597.8999999999996,0,0,0,0,0,0,0,0
0,40,5505.11186440678,5498.5,388.15777457144554,461.0,308.0,308.0,24.265428792476737,0.0,30961.83559322034,30661.2,2266.6414298025807,1584.2000000000007,16734.533898305086,16458.9,1439.7176734262591,1195.800000000001,0,0,0,0,0,0,0,0
10,0,5151.294915254238,5150.7,396.32719086012617,74.5,308.0,308.0,22.151204528624753,0.0,1965.5525423728814,1964.0,150.67673590645936,55.799999999999955,490.5525423728813,489.0,35.373759785410584,0.0,0,0,0,0,0,0,0,0
10,10,5688.98,5701.9,389.33992589805786,122.04999999999927,6247.570000000001,6258.0,486.362316051086,595.0,10640.238333333336,10269.9,987.2237616793336,630.2999999999993,14017.055,13627.0,1178.2989000127202,996.7000000000007,0,0,0,0,0,0,0,0
10,20,5715.981355932203,5717.3,359.43997075650907,36.80000000000018,12187.308474576272,12208.0,991.8873540895682,1190.0,18643.128813559324,18077.6,1289.4139207341648,505.0,27556.02033898305,26763.0,2291.5495960067074,1944.2999999999993,0,0,0,0,0,0,0,0
10,30,5865.020338983052,5873.5,478.39495722304065,463.89999999999964,18188.77627118644,18158.0,1580.0381532210324,1785.0,26751.088135593225,25904.1,2340.8500055855598,1376.5,41185.61016949153,40444.0,3347.060503285445,2610.9000000000015,0,0,0,0,0,0,0,0
10,40,5880.403333333334,5891.5,497.0777697113832,483.5499999999997,24102.05,24108.0,1900.2781029744212,2410.7999999999993,34698.61,34518.2,2862.603129232469,2210.2999999999993,54626.83833333333,54648.5,4221.8780619366025,4479.699999999997,0,0,0,0,0,0,0,0
20,0,5160.142372881355,5159.2,428.11910331338703,437.5,308.0,308.0,26.209658656620313,30.80000000000001,1962.1271186440679,1964.0,133.0375767898167,55.799999999999955,489.628813559322,489.0,42.26796313035178,41.89999999999998,0,0,0,0,0,0,0,0
20,10,5694.972881355931,5706.2,423.846271672313,49.399999999999636,6236.786440677966,6258.0,560.5062340720795,595.0,10625.1593220339,10242.0,885.7688279639538,658.2000000000007,13983.661016949152,13623.0,1296.8283312356725,996.2999999999993,0,0,0,0,0,0,0,0
20,20,5711.03,5716.8,429.89304751889705,449.4500000000003,12228.346666666668,12208.0,1057.0899760409834,1190.0,18663.07,18144.65,1588.8646174687342,928.3499999999985,27609.14666666667,26801.5,2425.6332367324712,1934.7999999999993,0,0,0,0,0,0,0,0
20,30,5872.3983333333335,5862.8,453.1823008390612,292.3499999999999,18158.513333333332,18158.0,1284.6535257317983,30.799999999999272,26777.206666666665,25957.25,2289.1563825312624,1827.3499999999985,41116.72333333334,41511.5,2617.1789020905735,1616.5,0,0,0,0,0,0,0,0
20,40,5887.006779661017,5888.4,494.8752733367674,497.60000000000036,23513.000000000004,23513.0,1647.893288309401,1563.7999999999993,34421.388135593224,34144.5,2553.0953751303496,1887.5,53488.754237288136,53005.0,3574.021540048652,2928.0,0,0,0,0,0,0,0,0
30,0,5167.657627118645,5158.8,405.2276853408293,82.30000000000018,308.0,308.0,22.8776656634128,30.80000000000001,1965.8694915254239,1964.0,151.30523870666812,140.5999999999999,489.9237288135593,489.0,37.00853274855747,48.89999999999998,0,0,0,0,0,0,0,0
30,10,5717.530508474575,5711.8,510.96619844147915,460.90000000000055,6258.0,6258.0,435.5376653413968,357.0,10667.757627118644,10443.3,948.6832003113016,803.6999999999989,14017.805084745763,13672.9,981.9487883310074,947.5,0,0,0,0,0,0,0,0
30,20,5724.086440677966,5724.2,439.52214351561526,454.0,12187.308474576272,12208.0,808.7929939087678,30.799999999999272,18662.54237288135,18202.7,1532.1380902700453,1164.2000000000007,27515.80847457627,26811.9,1975.1087776493812,1993.2000000000007,0,0,0,0,0,0,0,0
30,30,5870.964406779661,5867.0,478.2979268350723,457.3000000000002,18188.77627118644,18158.0,1461.3606431771848,1785.0,26770.60169491525,25956.0,2379.1488792170694,1826.0999999999985,41187.61355932204,40702.1,3445.261739691977,3489.5999999999985,0,0,0,0,0,0,0,0
30,40,5888.416666666667,5888.9,365.27188813250746,34.79999999999973,24108.0,24108.0,1644.8341423779484,0.0,34773.95166666667,34634.5,2185.9664800019445,1220.6500000000015,54633.175,54677.0,3734.551867864629,1747.0499999999993,0,0,0,0,0,0,0,0
