frequency,num_pairs,continuous/proportionalResident_mean,continuous/proportionalResident_median,continuous/proportionalResident_std,continuous/proportionalResident_mad,continuous/proportionalSwapped_mean,continuous/proportionalSwapped_median,continuous/proportionalSwapped_std,continuous/proportionalSwapped_mad,continuous/resident_mean,continuous/resident_median,continuous/resident_std,continuous/resident_mad,continuous/swapped_mean,continuous/swapped_median,continuous/swapped_std,continuous/swapped_mad,continuous/virtual_mean,continuous/virtual_median,continuous/virtual_std,continuous/virtual_mad,datamgmt/proportionalResident_mean,datamgmt/proportionalResident_median,datamgmt/proportionalResident_std,datamgmt/proportionalResident_mad,datamgmt/proportionalSwapped_mean,datamgmt/proportionalSwapped_median,datamgmt/proportionalSwapped_std,datamgmt/proportionalSwapped_mad,datamgmt/resident_mean,datamgmt/resident_median,datamgmt/resident_std,datamgmt/resident_mad,datamgmt/swapped_mean,datamgmt/swapped_median,datamgmt/swapped_std,datamgmt/swapped_mad,datamgmt/virtual_mean,datamgmt/virtual_median,datamgmt/virtual_std,datamgmt/virtual_mad,ros2listener/proportionalResident_mean,ros2listener/proportionalResident_median,ros2listener/proportionalResident_std,ros2listener/proportionalResident_mad,ros2listener/proportionalSwapped_mean,ros2listener/proportionalSwapped_median,ros2listener/proportionalSwapped_std,ros2listener/proportionalSwapped_mad,ros2listener/resident_mean,ros2listener/resident_median,ros2listener/resident_std,ros2listener/resident_mad,ros2listener/swapped_mean,ros2listener/swapped_median,ros2listener/swapped_std,ros2listener/swapped_mad,ros2listener/virtual_mean,ros2listener/virtual_median,ros2listener/virtual_std,ros2listener/virtual_mad,ros2talker/proportionalResident_mean,ros2talker/proportionalResident_median,ros2talker/proportionalResident_std,ros2talker/proportionalResident_mad,ros2talker/proportionalSwapped_mean,ros2talker/proportionalSwapped_median,ros2talker/proportionalSwapped_std,ros2talker/proportionalSwapped_mad,ros2talker/resident_mean,ros2talker/resident_median,ros2talker/resident_std,ros2talker/resident_mad,ros2talker/swapped_mean,ros2talker/swapped_median,ros2talker/swapped_std,ros2talker/swapped_mad,ros2talker/virtual_mean,ros2talker/virtual_median,ros2talker/virtual_std,ros2talker/virtual_mad,structural/proportionalResident_mean,structural/proportionalResident_median,structural/proportionalResident_std,structural/proportionalResident_mad,structural/proportionalSwapped_mean,structural/proportionalSwapped_median,structural/proportionalSwapped_std,structural/proportionalSwapped_mad,structural/resident_mean,structural/resident_median,structural/resident_std,structural/resident_mad,structural/swapped_mean,structural/swapped_median,structural/swapped_std,structural/swapped_mad,structural/virtual_mean,structural/virtual_median,structural/virtual_std,structural/virtual_mad,influxdb/memusage_mean,influxdb/memusage_median,influxdb/memusage_std,influxdb/memusage_mad,neo4j/memusage_mean,neo4j/memusage_median,neo4j/memusage_std,neo4j/memusage_mad,influxdb/memrss_mean,influxdb/memrss_median,influxdb/memrss_std,influxdb/memrss_mad,neo4j/memrss_mean,neo4j/memrss_median,neo4j/memrss_std,neo4j/memrss_mad,stream/proportionalResident_mean,stream/proportionalResident_median,stream/proportionalResident_std,stream/proportionalResident_mad,stream/proportionalSwapped_mean,stream/proportionalSwapped_median,stream/proportionalSwapped_std,stream/proportionalSwapped_mad,stream/resident_mean,stream/resident_median,stream/resident_std,stream/resident_mad,stream/swapped_mean,stream/swapped_median,stream/swapped_std,stream/swapped_mad,stream/virtual_mean,stream/virtual_median,stream/virtual_std,stream/virtual_mad,ros2/proportionalResident_mean,ros2/proportionalResident_median,ros2/proportionalResident_std,ros2/proportionalResident_mad,ros2/proportionalSwapped_mean,ros2/proportionalSwapped_median,ros2/proportionalSwapped_std,ros2/proportionalSwapped_mad,ros2/resident_mean,ros2/resident_median,ros2/resident_std,ros2/resident_mad,ros2/swapped_mean,ros2/swapped_median,ros2/swapped_std,ros2/swapped_mad,ros2/virtual_mean,ros2/virtual_median,ros2/virtual_std,ros2/virtual_mad,db/memrss_mean,db/memrss_median,db/memrss_std,db/memrss_mad,db/memusage_mean,db/memusage_median,db/memusage_std,db/memusage_mad
0,0,8147195.803278688,8160256.0,106353.89998409708,108544.0,0.0,0.0,0.0,0.0,16987119.213114753,16953344.0,227874.8970733075,0.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,5912743.868852459,5912576.0,1725.4762383702437,2048.0,0.0,0.0,0.0,0.0,13107200.0,13107200.0,0.0,0.0,0.0,0.0,0.0,0.0,219250688.0,219250688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9491086.68852459,9580544.0,208261.31307082626,2048.0,0.0,0.0,0.0,0.0,18214441.967213117,18317312.0,212210.88142332752,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,197560487.86885247,197316608.0,3814623.9226651927,2801664.0,907381776.7868853,902782976.0,9434586.832421873,2940928.0,79524108.59016393,79302656.0,3791126.7632930335,2789376.0,485145818.2295082,481353728.0,7686724.611069504,2912256.0,23551026.36065574,23653376.0,316340.6892932936,112640.0,0.0,0.0,0.0,0.0,48308761.18032787,48377856.0,440085.77849663503,0.0,0.0,0.0,0.0,0.0,1103228928.0,1103228928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564669926.8196721,560656384.0,11477851.374362538,5701632.0,1104942264.6557376,1100099584.0,13249210.755087066,5742592.0
0,10,8490871.466666667,8505344.0,95657.66248937444,81920.0,0.0,0.0,0.0,0.0,19733026.133333333,19804160.0,187374.73495224107,65536.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,5029888.0,5029888.0,0.0,0.0,0.0,0.0,0.0,0.0,13369344.0,13369344.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,178030336.0,178030592.0,5011.681324158117,4096.0,0.0,0.0,0.0,0.0,1086066688.0,1086066688.0,0.0,0.0,0.0,0.0,0.0,0.0,10062630912.0,10062630912.0,0.0,0.0,174558532.26666668,174558208.0,1378.897592916679,1024.0,0.0,0.0,0.0,0.0,1079259136.0,1079259136.0,0.0,0.0,0.0,0.0,0.0,0.0,9774100480.0,9774100480.0,0.0,0.0,8883438.933333334,8965120.0,187577.02595312468,10240.0,0.0,0.0,0.0,0.0,18350353.066666666,18477056.0,249003.66928001423,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,204162594.13333333,204007424.0,720007.9699413754,755712.0,1008826914.1333333,1008771072.0,125345.19251771866,65536.0,85558476.8,85393408.0,524870.3477678971,559104.0,580763101.8666667,580734976.0,86520.21344298226,65536.0,22404198.4,22500352.0,283234.68844249914,92160.0,0.0,0.0,0.0,0.0,51452723.2,51650560.0,436378.4042322553,65536.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,352588868.26666665,352588800.0,6390.578917074796,5120.0,0.0,0.0,0.0,0.0,2165325824.0,2165325824.0,0.0,0.0,0.0,0.0,0.0,0.0,19836731392.0,19836731392.0,0.0,0.0,666321578.6666666,666128384.0,611390.5612108794,624640.0,1212989508.2666667,1212778496.0,845353.1624590941,821248.0
0,20,8508893.866666667,8552448.0,109580.64585136493,77824.0,0.0,0.0,0.0,0.0,20223863.466666665,20312064.0,121144.80594886726,0.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,4988859.733333333,4988928.0,528.7913262021859,0.0,0.0,0.0,0.0,0.0,13500416.0,13500416.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,343086301.8666667,343085056.0,2150.3724507247944,1024.0,0.0,0.0,0.0,0.0,2185904128.0,2185904128.0,0.0,0.0,0.0,0.0,0.0,0.0,18953129984.0,18953129984.0,0.0,0.0,339618662.4,339618816.0,701.005650500692,0.0,0.0,0.0,0.0,0.0,2174332928.0,2174332928.0,0.0,0.0,0.0,0.0,0.0,0.0,18444967936.0,18444967936.0,0.0,0.0,8858009.6,9019392.0,249942.1388610043,12288.0,0.0,0.0,0.0,0.0,18308027.733333334,18423808.0,187070.81704321448,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,207009245.86666667,206737408.0,2437336.25018272,1216512.0,1097656115.2,1097617408.0,100005.84282537476,24576.0,85909504.0,85544960.0,2108660.4903643434,894976.0,667583419.7333333,667570176.0,58867.7716017127,28672.0,22355763.200000003,22560768.0,360051.5760385714,90112.0,0.0,0.0,0.0,0.0,52032307.2,52236288.0,308215.62299208174,0.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,682704964.2666667,682703872.0,2851.3781012254863,1024.0,0.0,0.0,0.0,0.0,4360237056.0,4360237056.0,0.0,0.0,0.0,0.0,0.0,0.0,37398097920.0,37398097920.0,0.0,0.0,753492923.7333333,753115136.0,2167528.261966056,923648.0,1304665361.0666666,1304354816.0,2537342.0930080945,1241088.0
0,30,8556066.133333333,8567808.0,114305.44882892471,81920.0,0.0,0.0,0.0,0.0,19717870.933333334,19726336.0,164563.64844857855,0.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,4999987.2,5002240.0,4159.721294444813,0.0,0.0,0.0,0.0,0.0,13369344.0,13369344.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,570890752.0,570890240.0,1842.4284637585788,1024.0,0.0,0.0,0.0,0.0,3416666112.0,3416666112.0,0.0,0.0,0.0,0.0,0.0,0.0,30456586240.0,30456586240.0,0.0,0.0,563616955.7333333,563616768.0,1638.0926265346977,1024.0,0.0,0.0,0.0,0.0,3396513792.0,3396513792.0,0.0,0.0,0.0,0.0,0.0,0.0,27178311680.0,27178311680.0,0.0,0.0,8979182.933333334,9140224.0,256963.5836526038,0.0,0.0,0.0,0.0,0.0,18709094.4,18907136.0,325684.7839534729,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,215856332.8,216029184.0,2939788.504914244,1527808.0,1199007948.8,1198931968.0,120580.04688591795,4096.0,90503645.86666666,90710016.0,2496804.5667606555,1087488.0,765350707.2,765304832.0,80310.21447852347,0.0,22535236.266666666,22710272.0,375428.75377597334,81920.0,0.0,0.0,0.0,0.0,51796309.33333333,52002816.0,490248.43240205146,0.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,1134507707.7333333,1134507008.0,3480.5210902932768,2048.0,0.0,0.0,0.0,0.0,6813179904.0,6813179904.0,0.0,0.0,0.0,0.0,0.0,0.0,57634897920.0,57634897920.0,0.0,0.0,855854353.0666667,856014848.0,2577114.781239179,1087488.0,1414864281.6,1414961152.0,3060368.551800162,1531904.0
0,40,8557424.280701755,8565760.0,84823.39237956084,49152.0,0.0,0.0,0.0,0.0,20272828.63157895,20238336.0,58230.26407922981,0.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,5011456.0,5011456.0,0.0,0.0,0.0,0.0,0.0,0.0,13631488.0,13631488.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,857569046.4561404,857568256.0,1548.3546574875566,1024.0,0.0,0.0,0.0,0.0,4773273600.0,4773273600.0,0.0,0.0,0.0,0.0,0.0,0.0,41084116992.0,41084116992.0,0.0,0.0,848837452.3508772,848837632.0,551.5361823135473,0.0,0.0,0.0,0.0,0.0,4745633792.0,4745633792.0,0.0,0.0,0.0,0.0,0.0,0.0,36578078720.0,36578078720.0,0.0,0.0,9082646.45614035,9188352.0,268455.9399377478,126976.0,0.0,0.0,0.0,0.0,18623793.40350877,18694144.0,218410.3737207831,131072.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,223930026.66666666,224720896.0,2186774.766928193,1189888.0,1301779319.4666667,1301727232.0,104436.33797750385,2048.0,92141909.33333333,92938240.0,1592644.9320293383,655360.0,863058193.0666667,863031296.0,67886.22907554355,0.0,22651526.736842103,22765568.0,353279.33231730864,176128.0,0.0,0.0,0.0,0.0,52528110.03508772,52563968.0,276640.6378000129,131072.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,1706406498.8070176,1706405888.0,2099.890839801104,1024.0,0.0,0.0,0.0,0.0,9518907392.0,9518907392.0,0.0,0.0,0.0,0.0,0.0,0.0,77662195712.0,77662195712.0,0.0,0.0,955200102.4000001,955969536.0,1660531.161104882,655360.0,1525709346.1333334,1526448128.0,2291211.104905697,1191936.0
10,0,8317576.533333333,8329216.0,104320.98057006828,107520.0,0.0,0.0,0.0,0.0,17626726.4,17567744.0,159026.2550879411,131072.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,5791846.4,5792768.0,1607.519145574892,1024.0,0.0,0.0,0.0,0.0,13500416.0,13500416.0,0.0,0.0,0.0,0.0,0.0,0.0,219250688.0,219250688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9721565.866666667,9911296.0,263184.99014381284,4096.0,0.0,0.0,0.0,0.0,18537540.266666666,18833408.0,385400.00930496445,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,200312217.6,201005056.0,1664462.7857819437,108544.0,942138504.5333333,940859392.0,2137374.956263997,393216.0,82231432.53333333,82931712.0,1647023.849915957,86016.0,514465723.73333335,513196032.0,2127376.1694991505,397312.0,23830988.8,24033280.0,369113.489859456,112640.0,0.0,0.0,0.0,0.0,49664682.666666664,49901568.0,544426.2643929055,131072.0,0.0,0.0,0.0,0.0,1103228928.0,1103228928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596697156.2666667,596127744.0,3774400.0194151076,483328.0,1142450722.1333332,1141864448.0,3801837.742045941,501760.0
10,10,9111870.950819673,9148416.0,116064.6581681128,65536.0,0.0,0.0,0.0,0.0,20313608.393442623,20316160.0,247216.77557070425,184320.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,4939423.4754098365,4942848.0,3752.5804437593665,0.0,0.0,0.0,0.0,0.0,13369344.0,13369344.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,177488157.37704918,177487872.0,1400.687618801737,1024.0,0.0,0.0,0.0,0.0,1088040960.0,1088040960.0,0.0,0.0,0.0,0.0,0.0,0.0,9189810176.0,9189810176.0,0.0,0.0,174901701.24590164,174902272.0,1393.09909501248,1024.0,0.0,0.0,0.0,0.0,1080963072.0,1080963072.0,0.0,0.0,0.0,0.0,0.0,0.0,9840873472.0,9840873472.0,0.0,0.0,8943683.147540983,9053184.0,185595.10298872256,12288.0,0.0,0.0,0.0,0.0,18332755.93442623,18440192.0,164942.87949063545,0.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,205625713.3114754,205836288.0,1006500.7427194404,327680.0,1054712076.590164,1054941184.0,2514135.217802345,1417216.0,86691638.55737706,86908928.0,802688.3124507818,98304.0,626351053.6393442,626618368.0,2540733.4145462145,1417216.0,22994977.573770493,23144448.0,305412.3416005947,77824.0,0.0,0.0,0.0,0.0,52015708.32786885,52125696.0,412159.6550613397,184320.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,352389858.6229508,352390144.0,2793.786713814217,2048.0,0.0,0.0,0.0,0.0,2169004032.0,2169004032.0,0.0,0.0,0.0,0.0,0.0,0.0,19030683648.0,19030683648.0,0.0,0.0,713042692.1967213,713527296.0,3343421.7269969964,1515520.0,1260337789.9016395,1260777472.0,3520635.960521785,1744896.0
10,20,9077486.933333334,9085952.0,103241.75106538211,83968.0,0.0,0.0,0.0,0.0,20229734.4,20230144.0,234078.00127881463,167936.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,4916565.333333333,4917248.0,1872.7257273069952,0.0,0.0,0.0,0.0,0.0,13369344.0,13369344.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,344533213.8666667,344532992.0,865.8534628960258,512.0,0.0,0.0,0.0,0.0,2186366976.0,2186366976.0,0.0,0.0,0.0,0.0,0.0,0.0,19624230912.0,19624230912.0,0.0,0.0,340639470.93333334,340642304.0,4682.573469852339,2560.0,0.0,0.0,0.0,0.0,2172928000.0,2172928000.0,0.0,0.0,0.0,0.0,0.0,0.0,19115708416.0,19115708416.0,0.0,0.0,8803396.266666668,8916992.0,279264.0080772768,126976.0,0.0,0.0,0.0,0.0,18169241.6,18313216.0,416015.0745555555,290816.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,208728814.93333334,208826368.0,1991645.7551277287,1728512.0,1098573346.1333334,1098594304.0,107625.0705125408,98304.0,87118643.2,87226368.0,1475698.8421794109,1292288.0,668211677.8666667,668225536.0,113271.16569848562,114688.0,22797448.53333333,22920192.0,384378.48486996593,210944.0,0.0,0.0,0.0,0.0,51768320.0,51912704.0,650093.0758343701,458752.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,685172684.8,685175296.0,5548.426932748365,3072.0,0.0,0.0,0.0,0.0,4359294976.0,4359294976.0,0.0,0.0,0.0,0.0,0.0,0.0,38739939328.0,38739939328.0,0.0,0.0,755330321.0666667,755451904.0,1588970.0078778965,1406976.0,1307302161.0666668,1307420672.0,2099270.8256402696,1826816.0
10,30,8976725.333333334,9044992.0,104620.16960976091,12288.0,0.0,0.0,0.0,0.0,20200652.8,20209664.0,224735.69152762543,172032.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,4979712.0,4979712.0,0.0,0.0,0.0,0.0,0.0,0.0,13238272.0,13238272.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,571426372.2666667,571427840.0,2836.5809800704037,1024.0,0.0,0.0,0.0,0.0,3418365952.0,3418365952.0,0.0,0.0,0.0,0.0,0.0,0.0,29920047104.0,29920047104.0,0.0,0.0,563027029.3333334,563026944.0,1104.0360265963238,1024.0,0.0,0.0,0.0,0.0,3393986560.0,3393986560.0,0.0,0.0,0.0,0.0,0.0,0.0,27043848192.0,27043848192.0,0.0,0.0,8992699.733333332,9104384.0,249359.71547361094,131072.0,0.0,0.0,0.0,0.0,18514056.533333335,18595840.0,328330.1735030216,270336.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,216441651.2,216135680.0,3143437.973232928,3004416.0,1199926681.6,1199900672.0,89991.45342229797,30720.0,90372778.66666667,90089472.0,2438915.740607078,2379776.0,765817173.3333334,765810688.0,47923.417566747434,28672.0,22949137.066666666,23129088.0,353979.88508337183,143360.0,0.0,0.0,0.0,0.0,51952981.333333336,52043776.0,553065.865030647,442368.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,1134453401.6,1134454784.0,3940.6170066667273,2048.0,0.0,0.0,0.0,0.0,6812352512.0,6812352512.0,0.0,0.0,0.0,0.0,0.0,0.0,56963895296.0,56963895296.0,0.0,0.0,856189952.0,855900160.0,2486839.1581738256,2408448.0,1416368332.8,1416036352.0,3233429.4266552264,3035136.0
10,40,9108587.789473685,9131008.0,56967.148389832306,8192.0,0.0,0.0,0.0,0.0,20065297.96491228,20074496.0,195000.33094934965,139264.0,0.0,0.0,0.0,0.0,441794560.0,441794560.0,0.0,0.0,5022720.0,5022720.0,0.0,0.0,0.0,0.0,0.0,0.0,13500416.0,13500416.0,0.0,0.0,0.0,0.0,0.0,0.0,353468416.0,353468416.0,0.0,0.0,857369725.754386,857369600.0,751.2424062060165,0.0,0.0,0.0,0.0,0.0,4773421056.0,4773421056.0,0.0,0.0,0.0,0.0,0.0,0.0,40547184640.0,40547184640.0,0.0,0.0,848881196.9122807,848880640.0,2002.420109702095,1024.0,0.0,0.0,0.0,0.0,4743147520.0,4743147520.0,0.0,0.0,0.0,0.0,0.0,0.0,36712030208.0,36712030208.0,0.0,0.0,9001912.140350876,9059328.0,238744.8180343726,126976.0,0.0,0.0,0.0,0.0,18600510.87719298,18718720.0,307069.71820535604,131072.0,0.0,0.0,0.0,0.0,442183680.0,442183680.0,0.0,0.0,224808960.0,225296384.0,2680774.9975095885,1843200.0,1303119435.5409837,1303089152.0,76626.51116543014,0.0,91997637.24590164,92483584.0,1761692.2558724105,819200.0,863802619.8032787,863797248.0,35673.165731316716,0.0,23133219.92982456,23213056.0,295711.96642420493,135168.0,0.0,0.0,0.0,0.0,52166224.84210526,52293632.0,502070.0491547057,270336.0,0.0,0.0,0.0,0.0,1237446656.0,1237446656.0,0.0,0.0,1706250922.6666665,1706250240.0,2753.6625159081113,1024.0,0.0,0.0,0.0,0.0,9516568576.0,9516568576.0,0.0,0.0,0.0,0.0,0.0,0.0,77259214848.0,77259214848.0,0.0,0.0,955800257.0491803,956280832.0,1797365.4216037272,819200.0,1527928395.5409837,1528385536.0,2757401.508675019,1843200.0
